19.6 C,2017-12-13 20:59:34
19.7 C,2017-12-13 21:19:34
19.7 C,2017-12-13 21:39:34
19.8 C,2017-12-13 21:59:34
19.9 C,2017-12-13 22:19:34
20.0 C,2017-12-13 22:39:34
19.9 C,2017-12-13 22:59:34
20.0 C,2017-12-13 23:19:34
20.0 C,2017-12-13 23:39:34
20.0 C,2017-12-13 23:59:34
